Ring Radius in Image Plane (pixels),Ring No.,"Sphere (corneal surface) Radius, (mm)",Elevation (mm)
11,1,7,6.94
19,2,7,6.92
25,3,7,6.88
33,4,7,6.8
39,5,7,6.69
49,6,7,6.57
55,7,7,6.44
63,8,7,6.27
12,1,7.5,7.44
20,2,7.5,7.39
27,3,7.5,7.36
35,4,7.5,7.31
43,5,7.5,7.204
52,6,7.5,7.082
60,7,7.5,6.96
69,8,7.5,6.775
14,1,8,7.931
21,2,8,7.897
29,3,8,7.863
37,4,8,7.806
45,5,8,7.685
55,6,8,7.542
65,7,8,7.412
74,8,8,7.211
15,1,8.5,8.429
22,2,8.5,8.389
31,3,8.5,8.344
40,4,8.5,8.294
49,5,8.5,8.159
58,6,8.5,8.024
68,7,8.5,7.869
78,8,8.5,7.666
16,1,9,8.93
24,2,9,8.888
33,3,9,8.847
42,4,9,8.785
52,5,9,8.653
62,6,9,8.5
72,7,9,8.341
83,8,9,8.118
17,1,9.5,9.426
26,2,9.5,9.37
35,3,9.5,9.335
45,4,9.5,9.272
56,5,9.5,9.126
66,6,9.5,8.967
77,7,9.5,8.803
89,8,9.5,8.571
18,1,10,9.915
27,2,10,9.869
37,3,10,9.826
48,4,10,9.753
59,5,10,9.606
70,6,10,9.44
82,7,10,9.27
94,8,10,9.027
